Modified,Initial,Delta
7.379800000000003,5.749230401233339,1.6305695987666642
7.04793333333333,5.69078541597334,1.35714791735999
6.714093333333332,5.5125591608666635,1.2015341724666682
6.747977777777778,5.565652082640006,1.1823256951377719
6.62453333333333,5.489694380006667,1.1348389533266632
6.651333333333336,5.519252082640008,1.1320812506933278
6.986150000000004,5.863644985260004,1.1225050147399998
6.7343166666666665,5.653918749306672,1.0803979173599947
6.702200000000002,5.6345854159733415,1.0676145840266607
6.7046888888888905,5.6694520826400066,1.035236806248884
6.6552000000000024,5.626585415973341,1.0286145840266618
6.670766666666669,5.70233333333334,0.968433333333329
6.457333333333335,5.50473749861334,0.952595834719995
6.766555555555558,5.828866435926665,0.9376891196288932
6.719649999999998,5.785518783213335,0.9341312167866631
6.391844444444443,5.475185415973341,0.916659028471102
6.659755555555555,5.748844985260004,0.9109105702955507
6.876266666666673,5.96691878321333,0.9093478834533428
6.748866666666665,5.864426058273332,0.8844406083933327
6.390933333333334,5.521470831946675,0.8694625013866588
6.532400000000006,5.672733333333334,0.8596666666666719
6.521755555555558,5.6673783185933395,0.8543772369622182
6.766533333333337,5.922759391606666,0.8437739417266705
6.852633333333333,6.032585449879998,0.8200478834533351
6.309333333333337,5.520870831946675,0.788462501386662
6.932233333333337,6.165072724939999,0.767160608393338
7.381366666666671,6.62367777777778,0.7576888888888913
6.3190666666666715,5.5704041652800065,0.748662501386665
7.460888888888887,6.732766666666674,0.728122222222213
6.831166666666668,6.11011878321333,0.7210478834533385
6.810833333333334,6.11031878321333,0.7005145501200039
6.339466435926667,5.639437104946666,0.7000293309800014
6.807166666666667,6.11171878321333,0.6954478834533369
7.502537777777781,6.809226666666671,0.6933111111111101
7.508825555555556,6.816416666666674,0.692408888888882
7.607073333333333,6.915160000000001,0.691913333333332
7.552820000000003,6.861383333333336,0.6914366666666671
7.204633333333337,6.519226058273331,0.6854072750600064
7.15874666666667,6.489924444444445,0.6688222222222251
6.548559391606671,5.893052116546664,0.6555072750600068
6.481349999999999,5.83179272494,0.6495572750599994
6.629033333333331,5.9893187832133306,0.6397145501200008
6.224492724940003,5.589292494200001,0.6352002307400015
7.502537777777781,6.872960000000003,0.6295777777777785
6.737133333333337,6.11211878321333,0.6250145501200066
7.013866666666664,6.389200000000002,0.6246666666666618
6.681988888888887,6.0579,0.6240888888888874
6.414799999999993,5.791266435926665,0.6235335640733286
6.1273854498800056,5.505894610746666,0.6214908391333394
6.210426058273336,5.591692494200001,0.6187335640733354
6.567666666666672,5.957052082640008,0.6106145840266644
7.5282266666666695,6.917633333333335,0.6105933333333349
7.086038888888892,6.479133333333338,0.6069055555555538
7.086038888888892,6.479133333333338,0.6069055555555538
7.086038888888892,6.479133333333338,0.6069055555555538
6.960900000000003,6.357288888888891,0.6036111111111122
7.240380000000002,6.638133333333333,0.6022466666666686
7.087133333333333,6.490022222222226,0.5971111111111069
6.507892724940004,5.912652116546664,0.5952406083933397
6.156466666666669,5.57873749861334,0.5777291680533292
6.0614444444444455,5.494318749306674,0.5671256951377712
7.473819047619046,6.910450000000001,0.5633690476190454
7.100999999999999,6.541933333333337,0.5590666666666619
6.658900000000002,6.102959391606668,0.5559406083933336
6.259586666666665,5.703852116546668,0.5557345501199968
6.388466666666649,5.845933102593332,0.5425335640733175
7.316326666666671,6.7741999999999996,0.5421266666666718
7.110650000000001,6.576713492063494,0.5339365079365068
7.033016666666668,6.499500000000004,0.5335166666666638
7.033016666666668,6.499500000000004,0.5335166666666638
6.264648888888893,5.735563734566672,0.529085154322221
6.137226058273334,5.6155708319466715,0.5216552263266623
7.021364444444447,6.499866666666672,0.5214977777777747
5.81281111111111,5.304399999999998,0.508411111111112
7.877333333333331,7.370352380952379,0.5069809523809514
7.094200000000001,6.588016666666673,0.5061833333333281
7.11996222222223,6.6161555555555545,0.5038066666666756
6.497942222222224,6.006559391606666,0.49138283061555743
6.50740888888889,6.018559391606666,0.4888494972822244
7.055962222222221,6.576416666666664,0.479545555555557
6.850866666666666,6.379333333333339,0.47153333333332714
7.0752666666666695,6.607822222222226,0.46744444444444344
7.6339444444444435,7.166674603174601,0.46726984126984217
6.895533333333333,6.432333333333338,0.46319999999999517
7.386954444444445,6.928400000000004,0.4585544444444407
6.1797187832133345,5.739625827533332,0.4400929556800026
6.545333333333324,6.107533333333333,0.4377999999999913
5.983533333333333,5.5483041652800065,0.43522916805332645
6.301852116546674,5.868892494199998,0.43295962234667584
6.822400000000002,6.393666666666669,0.42873333333333274
6.004866666666665,5.579166666666674,0.4256999999999911
6.952772222222226,6.531300000000005,0.4214722222222207
6.952772222222226,6.531300000000005,0.4214722222222207
6.952772222222226,6.531300000000005,0.4214722222222207
7.359133333333336,6.9386000000000045,0.4205333333333314
6.315866666666661,5.901910880371108,0.41395578629555363
6.8557666666666695,6.44576888888889,0.4099977777777797
6.903400000000003,6.495933333333335,0.407466666666668
7.140150000000002,6.735063333333334,0.40508666666666837
7.090083333333339,6.686700000000001,0.40338333333333765
7.356866666666667,6.954183333333336,0.4026833333333313
6.8705333333333325,6.47019111111111,0.40034222222222215
6.935750000000006,6.536800000000002,0.3989500000000037
6.521738888888896,6.126533333333335,0.3952055555555605
6.962233333333334,6.575822222222221,0.38641111111111304
6.817933333333335,6.439477777777781,0.3784555555555542
6.73618666666667,6.358822222222226,0.37736444444444395
7.066240000000001,6.6894666666666645,0.37677333333333696
6.906066666666667,6.53173716938444,0.3743294972822264
7.459993333333335,7.08575555555556,0.37423777777777545
6.841466666666668,6.473000000000005,0.36846666666666295
